iter	Passed	Remaining
401	15151	22538
402	15193	22507
403	15230	22469
404	15268	22432
405	15297	22381
406	15328	22333
407	15359	22286
408	15395	22246
409	15430	22204
410	15466	22165
411	15501	22123
412	15538	22085
413	15571	22040
414	15604	21996
415	15643	21961
416	15690	21936
417	15731	21903
418	15763	21858
419	15798	21817
420	15833	21776
421	15871	21738
422	15905	21696
423	15939	21653
424	15969	21606
425	16001	21560
426	16033	21515
427	16072	21480
428	16113	21446
429	16151	21410
430	16184	21366
431	16226	21335
432	16267	21301
433	16302	21260
434	16342	21225
435	16378	21186
436	16417	21151
437	16454	21112
438	16487	21069
439	16520	21026
440	16553	20983
441	16582	20935
442	16619	20896
443	16651	20852
444	16683	20807
445	16714	20762
446	16746	20718
447	16784	20680
448	16822	20644
449	16857	20603
450	16891	20561
451	16926	20521
452	16962	20482
453	16994	20438
454	17036	20406
455	17073	20368
456	17103	20322
457	17141	20285
458	17175	20244
459	17206	20198
460	17247	20165
461	17287	20131
462	17320	20088
463	17354	20047
464	17387	20004
465	17420	19962
466	17457	19924
467	17485	19876
468	17520	19836
469	17557	19798
470	17594	19761
471	17626	19717
472	17663	19680
473	17701	19643
474	17737	19604
475	17767	19558
476	17800	19516
477	17834	19476
478	17870	19437
479	17903	19395
480	17943	19360
481	17974	19317
482	18011	19279
483	18045	19238
484	18078	19197
485	18112	19155
486	18145	19114
487	18176	19070
488	18211	19031
489	18246	18991
490	18277	18947
491	18316	18912
492	18348	18869
493	18383	18830
494	18418	18790
495	18452	18750
496	18482	18705
497	18518	18666
498	18561	18635
499	18598	18598
500	18634	18559
501	18666	18518
502	18699	18476
503	18734	18436
504	18764	18393
505	18803	18358
506	18834	18314
507	18873	18278
508	18910	18241
509	18944	18202
510	18975	18158
511	19008	18117
512	19043	18078
513	19082	18042
514	19120	18006
515	19152	17964
516	19182	17921
517	19212	17877
518	19247	17838
519	19280	17796
520	19316	17759
521	19349	17718
522	19384	17679
523	19425	17646
524	19463	17609
525	19494	17567
526	19530	17529
527	19562	17487
528	19593	17444
529	19623	17401
530	19659	17364
531	19694	17325
532	19724	17281
533	19756	17240
534	19796	17206
535	19827	17164
536	19864	17127
537	19899	17088
538	19927	17043
539	19961	17004
540	20000	16969
541	20033	16928
542	20067	16889
543	20105	16853
544	20146	16819
545	20185	16784
546	20222	16747
547	20264	16714
548	20300	16676
549	20335	16638
550	20376	16604
551	20404	16560
552	20441	16523
553	20471	16480
554	20504	16440
555	20538	16401
556	20575	16364
557	20609	16325
558	20642	16284
559	20678	16247
560	20712	16208
561	20744	16167
562	20780	16129
563	20817	16093
564	20847	16050
565	20877	16008
566	20912	15970
567	20944	15929
568	20978	15890
569	21010	15849
570	21046	15812
571	21080	15773
572	21119	15737
573	21159	15703
574	21217	15682
575	21273	15659
576	21317	15628
577	21357	15592
578	21388	15552
579	21421	15511
580	21459	15475
581	21493	15436
582	21530	15400
583	21569	15364
584	21617	15335
585	21657	15300
586	21688	15259
587	21724	15222
588	21763	15186
589	21800	15149
590	21839	15114
591	21876	15077
592	21908	15036
593	21945	14999
594	21992	14969
595	22039	14939
596	22079	14904
597	22120	14870
598	22156	14832
599	22192	14795
600	22226	14755
601	22257	14715
602	22290	14675
603	22324	14636
604	22357	14597
605	22392	14558
606	22428	14521
607	22465	14484
608	22509	14451
609	22555	14420
610	22608	14394
611	22657	14364
612	22692	14326
613	22725	14286
614	22764	14250
615	22801	14213
616	22833	14173
617	22866	14134
618	22898	14094
619	22934	14056
620	22962	14013
621	22994	13974
622	23032	13937
623	23064	13897
624	23100	13860
625	23129	13818
626	23169	13783
627	23205	13746
628	23244	13710
629	23283	13674
630	23315	13634
631	23347	13594
632	23385	13558
633	23430	13526
634	23488	13501
635	23526	13464
636	23593	13444
637	23634	13410
638	23699	13389
639	23860	13421
640	23976	13428
641	24086	13431
642	24190	13430
643	24321	13444
644	24449	13456
645	24564	13460
646	24646	13447
647	24759	13449
648	24858	13444
649	24990	13456
650	25089	13450
651	25216	13459
652	25314	13451
653	25406	13441
654	25520	13442
655	25617	13433
656	25738	13437
657	25875	13449
658	25965	13435
659	26087	13439
660	26214	13444
661	26313	13435
662	26408	13423
663	26506	13413
664	26609	13404
665	26728	13404
666	26839	13399
667	26961	13399
668	27075	13395
669	27192	13393
670	27300	13385
671	27420	13383
672	27520	13371
673	27618	13358
674	27713	13343
675	27802	13325
676	27912	13316
677	28021	13307
678	28119	13293
679	28239	13289
680	28331	13271
681	28436	13259
682	28522	13238
683	28626	13224
684	28717	13205
685	28809	13186
686	28930	13180
687	29035	13167
688	29129	13148
689	29247	13140
690	29337	13119
691	29447	13106
692	29539	13086
693	29639	13068
694	29759	13059
695	29852	13039
696	29943	13017
697	30060	13006
698	30139	12978
699	30251	12964
700	30353	12946
701	30453	12927
702	30553	12908
703	30658	12890
704	30746	12865
705	30854	12848
706	30964	12832
707	31064	12812
708	31173	12794
709	31283	12777
710	31383	12756
711	31481	12734
712	31600	12719
713	31700	12698
714	31794	12673
715	31894	12650
716	31987	12625
717	32089	12603
718	32191	12580
719	32282	12554
720	32384	12531
721	32494	12511
722	32594	12487
723	32713	12471
724	32803	12442
725	32891	12413
726	32989	12388
727	33103	12368
728	33189	12337
729	33291	12313
730	33382	12284
731	33491	12261
732	33611	12243
733	33715	12218
734	33828	12196
735	33934	12172
736	34015	12138
737	34109	12109
738	34197	12077
739	34289	12047
740	34382	12017
741	34473	11986
742	34586	11963
743	34695	11938
744	34790	11908
745	34898	11882
746	34996	11852
747	35119	11831
748	35231	11806
749	35346	11782
750	35447	11752
751	35549	11723
752	35636	11689
753	35719	11653
754	35796	11616
755	35896	11585
756	36004	11557
757	36111	11529
758	36217	11499
759	36307	11465
760	36394	11430
761	36512	11404
762	36619	11374
763	36712	11340
764	36819	11310
765	36922	11279
766	37012	11243
767	37119	11213
768	37226	11182
769	37299	11141
770	37390	11105
771	37478	11068
772	37574	11034
773	37678	11001
774	37776	10967
775	37883	10935
776	37991	10903
777	38067	10862
778	38145	10821
779	38241	10785
780	38356	10755
781	38461	10721
782	38551	10684
783	38662	10651
784	38751	10613
785	38868	10582
786	38961	10544
787	39039	10502
788	39155	10471
789	39253	10434
790	39369	10402
791	39461	10363
792	39547	10323
793	39661	10289
794	39764	10253
795	39862	10215
796	39973	10181
797	40062	10141
798	40169	10105
799	40291	10072
800	40384	10033
801	40483	9994
802	40578	9955
803	40662	9912
804	40762	9874
805	40863	9835
806	40951	9793
807	41037	9751
808	41138	9712
809	41243	9674
810	41331	9632
811	41417	9589
812	41536	9553
813	41636	9514
814	41735	9473
815	41816	9429
816	41903	9386
817	42003	9345
818	42101	9304
819	42202	9264
820	42294	9221
821	42417	9185
822	42525	9145
823	42597	9098
824	42705	9058
825	42789	9013
826	42898	8973
827	42985	8929
828	43084	8887
829	43186	8845
830	43293	8804
831	43395	8762
832	43494	8719
833	43600	8678
834	43705	8636
835	43816	8595
836	43911	8551
837	44015	8508
838	44132	8468
839	44229	8424
840	44339	8382
841	44454	8341
842	44558	8298
843	44661	8255
844	44750	8208
845	44878	8169
846	44988	8126
847	45087	8081
848	45199	8038
849	45295	7993
850	45381	7945
851	45493	7902
852	45613	7860
853	45704	7813
854	45809	7768
855	45906	7722
856	45994	7674
857	46096	7629
858	46186	7581
859	46284	7534
860	46399	7490
861	46490	7442
862	46588	7395
863	46663	7345
864	46759	7297
865	46884	7254
866	46994	7209
867	47095	7161
868	47194	7114
869	47276	7064
870	47388	7018
871	47473	6968
872	47566	6919
873	47663	6871
874	47753	6821
875	47853	6773
876	47940	6723
877	48028	6673
878	48132	6625
879	48223	6575
880	48330	6528
881	48432	6479
882	48538	6431
883	48623	6380
884	48727	6331
885	48824	6282
886	48920	6232
887	49026	6183
888	49130	6134
889	49207	6081
890	49301	6031
891	49406	5981
892	49507	5931
893	49596	5880
894	49702	5831
895	49794	5779
896	49886	5728
897	49989	5678
898	50093	5627
899	50202	5578
900	50293	5526
901	50405	5476
902	50515	5426
903	50598	5373
904	50694	5321
905	50811	5271
906	50926	5221
907	51007	5168
908	51101	5115
909	51189	5062
910	51297	5011
911	51388	4958
912	51490	4906
913	51584	4853
914	51698	4802
915	51811	4751
916	51924	4699
917	51997	4644
918	52120	4593
919	52224	4541
920	52354	4490
921	52451	4437
922	52564	4385
923	52677	4332
924	52777	4279
925	52888	4226
926	52971	4171
927	53059	4116
928	53168	4063
929	53266	4009
930	53352	3954
931	53448	3899
932	53543	3845
933	53632	3789
934	53741	3736
935	53860	3682
936	53971	3628
937	54092	3575
938	54196	3520
939	54310	3466
940	54406	3411
941	54531	3357
942	54618	3301
943	54703	3245
944	54806	3189
945	54918	3134
946	55025	3079
947	55127	3023
948	55215	2967
949	55320	2911
950	55416	2855
951	55537	2800
952	55630	2743
953	55725	2686
954	55816	2630
955	55909	2573
956	55992	2515
957	56078	2458
958	56181	2401
959	56274	2344
960	56385	2288
961	56469	2230
962	56571	2173
963	56693	2117
964	56806	2060
965	56900	2002
966	56980	1944
967	57069	1886
968	57174	1829
969	57287	1771
970	57396	1714
971	57477	1655
972	57577	1597
973	57673	1539
974	57769	1481
975	57872	1423
976	57959	1364
977	58070	1306
978	58166	1247
979	58284	1189
980	58367	1130
981	58470	1071
982	58588	1013
983	58708	954
984	58836	895
985	58984	837
986	59143	778
987	59257	719
988	59402	660
989	59485	600
990	59587	541
991	59675	481
992	59774	421
993	59863	361
994	59958	301
995	60054	241
996	60169	181
997	60255	120
998	60367	60
999	60467	0
